"store","websites","attribute_set","type","category_ids","sku","has_options","name","meta_title","meta_description","image","small_image","thumbnail","url_key","url_path","custom_design","page_layout","options_container","image_label","small_image_label","thumbnail_label","country_of_manufacture","msrp_enabled","msrp_display_actual_price_type","gift_message_available","weight","price","special_price","msrp","status","visibility","vesbrand","featured","product_status","domestic_shipping_cost","international_shipping_cost","tax_class_id","is_recurring","description","short_description","meta_keyword","custom_layout_update","news_from_date","news_to_date","special_from_date","special_to_date","custom_design_from","custom_design_to","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","low_stock_date","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_auto","use_config_qty_increments","qty_increments","use_config_enable_qty_inc","enable_qty_increments","is_decimal_divided","stock_status_changed_automatically","use_config_enable_qty_increments","product_name","store_id","product_type_id","product_status_changed","product_changed_websites","website","_media_image","_media_lable","_media_position","_media_is_disabled"
"admin","base","Default","simple","4,89","ch1","0","سرویس طرح شمسه قاصدک ","متا","فوق توصیف","1__10.jpg","1__10.jpg","1__10.jpg","product/1/سرویس-طرح-شمسه-قاصدک/","product/1/سرویس-طرح-شمسه-قاصدک/","","بدون به روز رسانی‌های آرایش","ستون اطلاعات محصول","","","","ایران","استفاده از پیکربندی","استفاده از پیکربندی","خیر","0.1000","750000","","","ممکن‌شده","کاتالوگ، جستجو","","خیر","تایید شده","","","هیچ یک","خیر","<p>گروه هنری قاصدک از سال 1389 فعالیت خود را نموده است . این گروه تشکیل شده از 10نفر از هنرمندان <strong>گرافیست</strong> که نسبت به تخصص های افراد کار گروه را انجام می دهند. گروه قاصدک در زمینه <strong>صنایع دستی مسی</strong> فعالیت می نمایند و با طراحی های زیبا بر روی فلز <strong>مس</strong> نقش ها و<strong> زیواآلات سنتی</strong> زیبا می آفرینند .</p>
<p>تمامی طرح ها محصولات قاصدک ابتکاری و <strong>خلاقانه</strong> هستند و تمام طرح ها به ثبت صنایع دستی رسیده است.</p>",".","فوق واژه","","","","","","","","20.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","0.0000","1","0","1","0","1","0.0000","1","0","0","0","1","سرویس طرح شمسه قاصدک ","0","simple","","","","","","",""
"admin","base","Default","simple","4,87","ch1","0","انگشتر طرح بهاره قاصدک","متا","فوق توصیف","1__11.jpg","1__11.jpg","1__11.jpg","product/1/انگشتر-طرح-بهاره-قاصدک/","product/1/انگشتر-طرح-بهاره-قاصدک/","","بدون به روز رسانی‌های آرایش","ستون اطلاعات محصول","","","","ایران","استفاده از پیکربندی","استفاده از پیکربندی","خیر","1.5000","250000","","","ممکن‌شده","کاتالوگ، جستجو","","خیر","تایید شده","","","هیچ یک","خیر","<p>گروه هنری قاصدک از سال 1389 فعالیت خود را نموده است . این گروه تشکیل شده از 10نفر از هنرمندان <strong>گرافیست</strong> که نسبت به تخصص های افراد کار گروه را انجام می دهند. گروه قاصدک در زمینه <strong>صنایع دستی مسی</strong> فعالیت می نمایند و با طراحی های زیبا بر روی فلز <strong>مس</strong> نقش ها و<strong> زیواآلات سنتی</strong> زیبا می آفرینند .</p>
<p>تمامی طرح ها محصولات قاصدک ابتکاری و <strong>خلاقانه</strong> هستند و تمام طرح ها به ثبت صنایع دستی رسیده است.</p>",".","فوق واژه","","","","","","","","20.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","0.0000","1","0","1","0","1","0.0000","1","0","0","0","1","انگشتر طرح بهاره قاصدک","0","simple","","","","","","",""
"admin","base","Default","simple","4,89","ch1","0","سرویس شاه عباسی فیروزه ای","متا","فوق توصیف","1__12.jpg","1__12.jpg","1__12.jpg","product/1/سرویس-شاه-عباسی-فیروزه-ای/","product/1/سرویس-شاه-عباسی-فیروزه-ای/","","بدون به روز رسانی‌های آرایش","ستون اطلاعات محصول","","","","ایران","استفاده از پیکربندی","استفاده از پیکربندی","خیر","0.1000","1280000","","","ممکن‌شده","کاتالوگ، جستجو","","خیر","تایید شده","","","هیچ یک","خیر","<p>گروه هنری قاصدک از سال 1389 فعالیت خود را نموده است . این گروه تشکیل شده از 10نفر از هنرمندان <strong>گرافیست</strong> که نسبت به تخصص های افراد کار گروه را انجام می دهند. گروه قاصدک در زمینه <strong>صنایع دستی مسی</strong> فعالیت می نمایند و با طراحی های زیبا بر روی فلز <strong>مس</strong> نقش ها و<strong> زیواآلات سنتی</strong> زیبا می آفرینند .</p>
<p>تمامی طرح ها محصولات قاصدک ابتکاری و <strong>خلاقانه</strong> هستند و تمام طرح ها به ثبت صنایع دستی رسیده است.</p>",".","فوق واژه","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","0.0000","1","0","1","0","1","0.0000","1","0","0","0","1","سرویس شاه عباسی فیروزه ای","0","simple","","","","","","",""
"admin","base","Default","simple","4,87","ch1","0","انگشتر طرح هشت پر ","متا","فوق توصیف","1__13.jpg","1__13.jpg","1__13.jpg","product/1/انگشتر-طرح-هشت-پر/","product/1/انگشتر-طرح-هشت-پر/","","بدون به روز رسانی‌های آرایش","ستون اطلاعات محصول","","","","ایران","استفاده از پیکربندی","استفاده از پیکربندی","خیر","0.1000","300000","","","ممکن‌شده","کاتالوگ، جستجو","","خیر","تایید شده","","","هیچ یک","خیر","<p>گروه هنری قاصدک از سال 1389 فعالیت خود را نموده است . این گروه تشکیل شده از 10نفر از هنرمندان <strong>گرافیست</strong> که نسبت به تخصص های افراد کار گروه را انجام می دهند. گروه قاصدک در زمینه <strong>صنایع دستی مسی</strong> فعالیت می نمایند و با طراحی های زیبا بر روی فلز <strong>مس</strong> نقش ها و<strong> زیواآلات سنتی</strong> زیبا می آفرینند .</p>
<p>تمامی طرح ها محصولات قاصدک ابتکاری و <strong>خلاقانه</strong> هستند و تمام طرح ها به ثبت صنایع دستی رسیده است.</p>",".","فوق واژه","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","0.0000","1","0","1","0","1","0.0000","1","0","0","0","1","انگشتر طرح هشت پر ","0","simple","","","","","","",""
"admin","base","Default","simple","4,69","ch5","0","کیف پول دستساز چرم آبی تهران","متا","فوق توصیف","1__16.jpg","1__16.jpg","1__16.jpg","product/5/کیف-پول-دستساز-چرم-آبی-تهران/","product/5/کیف-پول-دستساز-چرم-آبی-تهران/","","بدون به روز رسانی‌های آرایش","ستون اطلاعات محصول","","","","ایران","استفاده از پیکربندی","استفاده از پیکربندی","خیر","1.0000","400000","","","ممکن‌شده","کاتالوگ، جستجو","","خیر","تایید شده","","","هیچ یک","خیر","",".","فوق واژه","","","","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","0.0000","1","0","1","0","1","0.0000","1","0","0","0","1","کیف پول دستساز چرم آبی تهران","0","simple","","","","","","",""
"admin","","","","","ch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","/1/_/2__16.jpg","","2","0"
"admin","","","","","ch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","/1/_/3__16.jpg","","3","0"
"admin","base","Default","simple","4,69","ch5","0","کیف پول چرمی قرمز رنگ","متا","فوق توصیف","1__17.jpg","1__17.jpg","1__17.jpg","product/5/کیف-پول-چرمی-قرمز-رنگ/","product/5/کیف-پول-چرمی-قرمز-رنگ/","","بدون به روز رسانی‌های آرایش","ستون اطلاعات محصول","","","","ایران","استفاده از پیکربندی","استفاده از پیکربندی","خیر","1.0000","400000","","","ممکن‌شده","کاتالوگ، جستجو","","خیر","تایید شده","","","هیچ یک","خیر","",".","فوق واژه","","","","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","0.0000","1","0","1","0","1","0.0000","1","0","0","0","1","کیف پول چرمی قرمز رنگ","0","simple","","","","","","",""
"admin","","","","","ch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","/1/_/2__17.jpg","","2","0"
"admin","","","","","ch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","/1/_/3__17.jpg","","3","0"
